iter	RMSE
0	0.003695986727
1	0.003669876461
2	0.003642972661
3	0.003615393528
4	0.00358862467
5	0.003563306847
6	0.003528475244
7	0.003500117798
8	0.003460911785
9	0.00343533139
10	0.003404660037
11	0.003379105211
12	0.003356207994
13	0.003328273243
14	0.003300779235
15	0.003280881835
16	0.003258095371
17	0.003234315407
18	0.003204258187
19	0.003182771661
20	0.00316447126
21	0.003136340909
22	0.003107015682
23	0.003088710869
24	0.003063622468
25	0.003046252636
26	0.003025891749
27	0.003002880406
28	0.002986513251
29	0.002968414594
30	0.002948222407
31	0.002930226243
32	0.002912597211
33	0.002899740917
34	0.002883406541
35	0.00286836202
36	0.002844631775
37	0.002826620211
38	0.002813766701
39	0.002801616535
40	0.002786809299
41	0.00277019755
42	0.002751617812
43	0.002736160428
44	0.002725886765
45	0.002715733966
46	0.002691046759
47	0.002679820128
48	0.002665555697
49	0.002648689932
50	0.002628970411
51	0.002611971385
52	0.002598090403
53	0.002589352124
54	0.002579125014
55	0.002568488757
56	0.002556709995
57	0.00254509715
58	0.002528555268
59	0.002516981989
60	0.002505916887
61	0.002495065372
62	0.002485655194
63	0.00247265783
64	0.002459154257
65	0.002448356744
66	0.00243459848
67	0.002419008203
68	0.002397400051
69	0.002378299267
70	0.002365580724
71	0.002353369364
72	0.002340376016
73	0.002327526783
74	0.002316514269
75	0.002303920354
76	0.002290536254
77	0.002283043723
78	0.002277073802
79	0.002260213193
80	0.002245287293
81	0.002233389308
82	0.002221131773
83	0.002214479643
84	0.002205048957
85	0.002198757423
86	0.00218457099
87	0.002177984585
88	0.002169593273
89	0.00215945046
90	0.002149063581
91	0.002139708983
92	0.002124069114
93	0.002109365728
94	0.002096721267
95	0.002078099204
96	0.002072960594
97	0.002067700448
98	0.002055266178
99	0.00204532496
